team_name,strategy_name,seed,calendar_hour,pos_x,pos_y,fitness
identical,synchronic,0,0,-99,99,-19502
identical,synchronic,0,1,-99,99,-19502
identical,synchronic,0,2,-101,96,-19317
identical,synchronic,0,3,-101,96,-19317
identical,synchronic,0,4,-101,96,-19317
identical,synchronic,0,5,-97,93,-17958
identical,synchronic,0,6,-91,88,-15925
identical,synchronic,0,7,-84,83,-13845
identical,synchronic,0,8,-84,83,-13845
identical,synchronic,0,9,-84,83,-13845
identical,synchronic,0,10,-80,84,-13356
identical,synchronic,0,11,-80,83,-13189
identical,synchronic,0,12,-78,77,-11913
identical,synchronic,0,13,-74,72,-10560
identical,synchronic,0,14,-74,72,-10560
identical,synchronic,0,15,-74,72,-10560
identical,synchronic,0,16,-74,72,-10560
identical,synchronic,0,17,-74,72,-10560
identical,synchronic,0,18,-74,72,-10560
identical,synchronic,0,19,-76,63,-9645
identical,synchronic,0,20,-78,60,-9584
identical,synchronic,0,21,-70,62,-8644
identical,synchronic,0,22,-68,62,-8368
identical,synchronic,0,23,-68,58,-7888
identical,synchronic,0,24,-68,58,-7888
identical,synchronic,0,25,-64,53,-6805
identical,synchronic,0,26,-56,55,-6061
identical,synchronic,0,27,-56,55,-6061
identical,synchronic,0,28,-52,53,-5413
identical,synchronic,0,29,-52,53,-5413
identical,synchronic,0,30,-52,53,-5413
identical,synchronic,0,31,-46,45,-4041
identical,synchronic,0,32,-46,45,-4041
identical,synchronic,0,33,-44,44,-3772
identical,synchronic,0,34,-44,44,-3772
identical,synchronic,0,35,-34,40,-2656
identical,synchronic,0,36,-29,43,-2590
identical,synchronic,0,37,-29,43,-2590
identical,synchronic,0,38,-32,35,-2149
identical,synchronic,0,39,-25,37,-1894
identical,synchronic,0,40,-25,37,-1894
identical,synchronic,0,41,-25,37,-1894
identical,synchronic,0,42,-25,37,-1894
identical,synchronic,0,43,-25,35,-1750
identical,synchronic,0,44,-23,29,-1270
identical,synchronic,0,45,-21,22,-825
identical,synchronic,0,46,-21,22,-825
identical,synchronic,0,47,-18,22,-708
identical,synchronic,0,48,-18,22,-708
identical,synchronic,0,49,-18,22,-708
identical,synchronic,1,0,-99,97,-19110
identical,synchronic,1,1,-97,93,-17958
identical,synchronic,1,2,-97,93,-17958
identical,synchronic,1,3,-96,92,-17580
identical,synchronic,1,4,-96,92,-17580
identical,synchronic,1,5,-89,92,-16285
identical,synchronic,1,6,-89,92,-16285
identical,synchronic,1,7,-89,92,-16285
identical,synchronic,1,8,-89,92,-16285
identical,synchronic,1,9,-80,88,-14044
identical,synchronic,1,10,-78,85,-13209
identical,synchronic,1,11,-78,85,-13209
identical,synchronic,1,12,-78,85,-13209
identical,synchronic,1,13,-79,80,-12541
identical,synchronic,1,14,-79,80,-12541
identical,synchronic,1,15,-79,80,-12541
identical,synchronic,1,16,-82,75,-12249
identical,synchronic,1,17,-77,74,-11305
identical,synchronic,1,18,-68,73,-9853
identical,synchronic,1,19,-68,73,-9853
identical,synchronic,1,20,-71,67,-9430
identical,synchronic,1,21,-75,62,-9369
identical,synchronic,1,22,-75,62,-9369
identical,synchronic,1,23,-75,62,-9369
identical,synchronic,1,24,-75,62,-9369
identical,synchronic,1,25,-75,62,-9369
identical,synchronic,1,26,-75,62,-9369
identical,synchronic,1,27,-75,62,-9369
identical,synchronic,1,28,-71,62,-8785
identical,synchronic,1,29,-71,62,-8785
identical,synchronic,1,30,-64,66,-8352
identical,synchronic,1,31,-64,66,-8352
identical,synchronic,1,32,-64,66,-8352
identical,synchronic,1,33,-58,69,-8025
identical,synchronic,1,34,-61,66,-7977
identical,synchronic,1,35,-61,66,-7977
identical,synchronic,1,36,-58,67,-7753
identical,synchronic,1,37,-58,67,-7753
identical,synchronic,1,38,-52,66,-6960
identical,synchronic,1,39,-55,59,-6406
identical,synchronic,1,40,-55,59,-6406
identical,synchronic,1,41,-55,59,-6406
identical,synchronic,1,42,-55,59,-6406
identical,synchronic,1,43,-53,54,-5625
identical,synchronic,1,44,-53,54,-5625
identical,synchronic,1,45,-49,53,-5110
identical,synchronic,1,46,-49,53,-5110
identical,synchronic,1,47,-52,50,-5104
identical,synchronic,1,48,-52,50,-5104
identical,synchronic,1,49,-51,45,-4526
identical,synchronic,2,0,-96,102,-19520
identical,synchronic,2,1,-96,102,-19520
identical,synchronic,2,2,-96,102,-19520
identical,synchronic,2,3,-96,102,-19520
identical,synchronic,2,4,-96,102,-19520
identical,synchronic,2,5,-96,102,-19520
identical,synchronic,2,6,-96,102,-19520
identical,synchronic,2,7,-99,98,-19305
identical,synchronic,2,8,-99,98,-19305
identical,synchronic,2,9,-93,94,-17385
identical,synchronic,2,10,-93,94,-17385
identical,synchronic,2,11,-93,94,-17385
identical,synchronic,2,12,-87,89,-15390
identical,synchronic,2,13,-87,89,-15390
identical,synchronic,2,14,-82,85,-13849
identical,synchronic,2,15,-82,85,-13849
identical,synchronic,2,16,-82,85,-13849
identical,synchronic,2,17,-76,86,-13072
identical,synchronic,2,18,-71,88,-12685
identical,synchronic,2,19,-71,88,-12685
identical,synchronic,2,20,-71,88,-12685
identical,synchronic,2,21,-76,83,-12565
identical,synchronic,2,22,-76,83,-12565
identical,synchronic,2,23,-69,81,-11222
identical,synchronic,2,24,-68,77,-10453
identical,synchronic,2,25,-68,77,-10453
identical,synchronic,2,26,-61,74,-9097
identical,synchronic,2,27,-57,74,-8625
identical,synchronic,2,28,-57,74,-8625
identical,synchronic,2,29,-57,74,-8625
identical,synchronic,2,30,-57,74,-8625
identical,synchronic,2,31,-50,74,-7876
identical,synchronic,2,32,-53,67,-7198
identical,synchronic,2,33,-53,67,-7198
identical,synchronic,2,34,-53,67,-7198
identical,synchronic,2,35,-53,67,-7198
identical,synchronic,2,36,-50,69,-7161
identical,synchronic,2,37,-50,66,-6756
identical,synchronic,2,38,-50,66,-6756
identical,synchronic,2,39,-45,66,-6281
identical,synchronic,2,40,-39,59,-4902
identical,synchronic,2,41,-36,57,-4445
identical,synchronic,2,42,-35,55,-4150
identical,synchronic,2,43,-38,52,-4048
identical,synchronic,2,44,-35,48,-3429
identical,synchronic,2,45,-33,44,-2925
identical,synchronic,2,46,-25,44,-2461
identical,synchronic,2,47,-22,44,-2320
identical,synchronic,2,48,-22,44,-2320
identical,synchronic,2,49,-19,37,-1630
identical,synchronic,3,0,-98,101,-19705
identical,synchronic,3,1,-98,101,-19705
identical,synchronic,3,2,-99,100,-19701
identical,synchronic,3,3,-99,100,-19701
identical,synchronic,3,4,-99,100,-19701
identical,synchronic,3,5,-99,100,-19701
identical,synchronic,3,6,-96,102,-19520
identical,synchronic,3,7,-90,100,-18000
identical,synchronic,3,8,-90,100,-18000
identical,synchronic,3,9,-84,101,-17157
identical,synchronic,3,10,-84,93,-15605
identical,synchronic,3,11,-84,93,-15605
identical,synchronic,3,12,-86,86,-14692
identical,synchronic,3,13,-86,86,-14692
identical,synchronic,3,14,-86,86,-14692
identical,synchronic,3,15,-79,87,-13710
identical,synchronic,3,16,-76,85,-12901
identical,synchronic,3,17,-69,84,-11717
identical,synchronic,3,18,-69,84,-11717
identical,synchronic,3,19,-70,79,-11041
identical,synchronic,3,20,-70,79,-11041
identical,synchronic,3,21,-70,79,-11041
identical,synchronic,3,22,-69,72,-9845
identical,synchronic,3,23,-69,72,-9845
identical,synchronic,3,24,-68,66,-8880
identical,synchronic,3,25,-68,66,-8880
identical,synchronic,3,26,-68,66,-8880
identical,synchronic,3,27,-68,66,-8880
identical,synchronic,3,28,-71,59,-8422
identical,synchronic,3,29,-71,59,-8422
identical,synchronic,3,30,-71,59,-8422
identical,synchronic,3,31,-70,60,-8400
identical,synchronic,3,32,-70,60,-8400
identical,synchronic,3,33,-71,57,-8190
identical,synchronic,3,34,-71,57,-8190
identical,synchronic,3,35,-64,56,-7132
identical,synchronic,3,36,-64,56,-7132
identical,synchronic,3,37,-64,56,-7132
identical,synchronic,3,38,-64,56,-7132
identical,synchronic,3,39,-64,56,-7132
identical,synchronic,3,40,-64,56,-7132
identical,synchronic,3,41,-64,56,-7132
identical,synchronic,3,42,-63,56,-7005
identical,synchronic,3,43,-66,51,-6857
identical,synchronic,3,44,-66,48,-6560
identical,synchronic,3,45,-64,50,-6496
identical,synchronic,3,46,-65,42,-5889
identical,synchronic,3,47,-65,42,-5889
identical,synchronic,3,48,-65,42,-5889
identical,synchronic,3,49,-65,42,-5889
identical,synchronic,4,0,-100,100,-19900
identical,synchronic,4,1,-100,100,-19900
identical,synchronic,4,2,-100,97,-19309
identical,synchronic,4,3,-100,97,-19309
identical,synchronic,4,4,-102,90,-18404
identical,synchronic,4,5,-97,93,-17958
identical,synchronic,4,6,-97,93,-17958
identical,synchronic,4,7,-97,93,-17958
identical,synchronic,4,8,-97,93,-17958
identical,synchronic,4,9,-92,91,-16645
identical,synchronic,4,10,-89,83,-14710
identical,synchronic,4,11,-89,83,-14710
identical,synchronic,4,12,-89,83,-14710
identical,synchronic,4,13,-88,83,-14533
identical,synchronic,4,14,-82,77,-12553
identical,synchronic,4,15,-80,76,-12076
identical,synchronic,4,16,-80,76,-12076
identical,synchronic,4,17,-80,76,-12076
identical,synchronic,4,18,-80,76,-12076
identical,synchronic,4,19,-76,76,-11452
identical,synchronic,4,20,-76,76,-11452
identical,synchronic,4,21,-76,76,-11452
identical,synchronic,4,22,-76,74,-11152
identical,synchronic,4,23,-76,74,-11152
identical,synchronic,4,24,-67,71,-9430
